title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday
제보자,2014-10-02,216,1752415,7,한국,메가박스(주)플러스엠,12세이상관람가,드라마,임순례,"박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효",2014-11-10,40,월요일,0
제이슨본,2016-07-27,356,2610797,14,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,"액션,스릴러",폴그린그래스,"맷데이먼,줄리아스타일즈,토미리존스,뱅상카셀,알리시아비칸데르",2016-09-04,40,일요일,1
조선명탐정사라진놉의딸,2015-02-11,57,3871323,5,한국,(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민",2015-03-22,40,일요일,1
조이,2016-03-10,46,171958,2,미국,이십세기폭스코리아(주),12세이상관람가,"코미디,드라마",데이빗O.러셀,"제니퍼로렌스,브래들리쿠퍼,로버트드니로",2016-04-18,40,월요일,0
조작된도시,2017-02-09,63,2512706,6,한국,씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬",2017-03-20,40,월요일,0
존윅,2015-01-21,7,116003,2,미국,(주)나이너스엔터테인먼트,청소년관람불가,"액션,스릴러","데이빗레이치,채드스타헬스키","키아누리브스,애드리앤팰리키,윌렘데포",2015-03-01,40,일요일,1
좋아해줘,2016-02-17,65,848148,3,한국,씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,코미디",박현진,"이미연,최지우,김주혁,유아인,강하늘,이솜,하석진,지윤호,한재영,선주아,이춘우,이한승,이현서,장원진,전호성,송창현,이서연,이성진,이승연",2016-03-23,36,수요일,0
주온끝의시작,2014-07-16,3,410644,1,일본,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,공포(호러),오치아이마사유키,사사키노조미,2014-08-23,39,토요일,1
주토피아,2016-02-17,114241,3177255,608,미국,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론하워드,리치무어","지니퍼굿윈,제이슨베이트먼,샤키라",2016-03-27,40,일요일,1
죽여주는여자,2016-10-06,92,116465,6,한국,CGV아트하우스,청소년관람불가,드라마,이재용,"윤여정,전무송,윤계상,박성진,윤효진",2016-11-14,40,월요일,0
