title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
스플릿,703821,0,1,0,0,0,0,0,0,0,0,0,0,0,1700,0.983700863,3,102623,1178
고질라,706908,0,0,0,0,0,0,0,0,0,0,0,0,2,1984,0.689655172,1,176821,1178
헝거게임더파이널,708673,0,0,0,1,0,0,0,0,0,1,0,0,3,13214,0.869565217,2,107745,1082
카트,722336,0,1,0,0,0,0,0,0,0,0,0,0,0,48999,0.970401691,1,189247,1077
인시디어스3,732441,0,0,0,0,0,0,1,0,0,1,0,0,1,3097,0.875,6,88437,699
레지던트이블파멸의날,738628,1,0,0,0,0,0,1,0,0,1,1,0,1,9388,0.973684211,3,144193,1091
공각기동대고스트인더쉘,750046,0,0,0,0,1,0,0,0,0,0,0,0,3,4457,0.738461538,1,177399,1515
동주,774175,0,1,0,0,0,0,0,0,0,0,0,8,0,8002,0.988120492,4,51397,758
상의원,778719,0,1,0,0,0,0,0,0,0,0,0,0,3,8746,0.846153846,4,306941,920
애나벨,794338,0,0,0,0,0,0,1,0,0,0,0,0,2,6123,0.784254808,9,210907,753
하트오브더씨,798732,0,0,0,1,0,0,0,0,0,0,0,0,2,1575,0.941979522,4,104329,1021
좋아해줘,802979,0,0,1,0,0,0,0,0,0,0,0,1,3,11032,0.95754717,4,156675,1232
대립군,803956,0,1,0,0,0,0,0,0,0,0,0,1,2,2929,0.783505155,4,220155,1585
헝거게임모킹제이,807694,0,0,0,1,0,0,0,0,0,1,0,0,3,14780,0.723404255,2,187309,1213
살인의뢰,817625,0,0,0,0,1,0,0,0,0,0,1,0,0,8238,0.686930091,4,175271,989
손님,823209,0,0,0,0,0,0,1,0,0,0,0,0,3,7780,0.778947368,6,265342,1101
갓오브이집트,823410,0,0,0,1,0,0,0,0,0,0,0,0,1,2439,0.879310345,2,130641,990
레전드오브타잔,838443,0,0,0,1,0,0,0,0,0,0,0,0,2,2640,0.946236559,3,146338,1079
방황하는칼날,858011,0,0,0,0,1,0,0,0,0,0,1,1,3,1932,0.944444444,7,158806,999
"날,보러와요",865322,0,0,0,0,1,0,0,0,0,0,1,0,0,4353,0.896733404,7,101399,934
우리는형제입니다,872815,0,1,1,0,0,0,0,0,0,0,0,3,3,5789,0.862348178,4,141920,1050
"고산자,대동여지도",877939,1,0,0,0,0,0,0,0,0,0,0,6,3,3583,0.88147139,5,81253,1529
불한당나쁜놈들의세상,884878,0,0,0,0,1,0,0,0,0,0,1,1,3,3041,0.876623377,2,213201,1613
허삼관,891597,0,1,0,0,0,0,0,0,0,0,0,0,2,10731,0.81441048,4,165516,1205
장수상회,897033,0,1,0,0,0,0,0,0,0,0,0,1,3,15600,0.951661631,1,128861,1293
매그니피센트7,913170,1,0,0,0,0,0,0,0,0,0,0,0,1,2669,0.892682927,4,288407,1129
맨인더다크,925606,0,0,0,0,1,0,0,0,0,0,1,0,1,2623,0.937139192,2,175664,973
박물관이살아있다비밀의무덤,945679,0,0,1,1,0,0,0,0,0,1,0,0,2,3273,0.923791822,4,133143,876
간신,948493,0,0,0,0,0,0,0,0,0,0,1,3,3,4570,0.66796875,4,185546,1347
위플래쉬,952776,0,1,0,0,0,0,0,0,0,0,0,0,3,3127,0.98173516,4,98206,665
오빠생각,952918,0,1,0,0,0,0,0,0,0,0,0,3,2,8257,0.940806045,4,187437,1692
그놈이다,981032,0,0,0,0,1,0,0,0,0,0,0,0,0,5658,0.769230769,4,171964,1051
로그원스타워즈스토리,999518,0,0,0,1,0,0,0,0,0,1,0,0,0,3189,0.931960609,1,246465,1787
시간이탈자,1002455,0,0,0,0,1,0,0,0,0,0,0,0,3,7164,0.861286255,3,210615,1319
악녀,1014907,0,0,0,0,0,0,0,0,0,0,1,1,2,3562,0.843373494,1,158170,1153
빅매치,1023081,0,0,0,0,0,0,0,0,0,0,0,1,2,4634,0.782608696,4,232447,1244
라이트아웃,1028125,0,0,0,0,0,0,1,0,0,0,0,0,2,2011,0.833481745,4,136965,901
성난변호사,1039227,0,0,0,0,1,0,0,0,0,0,0,0,3,2973,0.960346964,2,264076,1200
"당신,거기있어줄래요",1046490,0,1,0,0,0,0,0,0,0,0,0,1,3,8363,0.970948012,1,203408,1520
스타트렉비욘드,1046901,0,0,0,0,0,0,0,0,0,0,0,0,3,3766,0.96570899,1,185007,1417
드라큘라전설의시작,1048724,0,0,0,0,0,0,0,0,0,0,0,0,1,2897,0.927038627,3,215872,761
슬로우비디오,1071120,0,1,1,0,0,0,0,0,0,0,0,1,2,8508,0.841176471,9,332699,1214
미씽사라진여자,1090230,0,0,0,0,1,0,0,0,0,0,0,0,0,4785,0.950381679,3,235815,1290
특별수사사형수의편지,1099284,0,1,0,0,1,0,0,0,0,0,0,1,2,3052,0.979166667,3,201037,1366
워크래프트전쟁의서막,1100154,0,0,0,1,0,0,0,0,0,0,0,0,1,14521,0.950166113,3,236441,1439
퓨리,1114156,0,1,0,0,0,0,0,0,0,0,0,0,0,4734,0.923076923,2,164977,1028
