title,eightdays_aud,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,documentary,horror,family,war,etc,series,holiday,aud_18,korea,usa,actors,director,distributor_value,expect,comp_before,comp_after,first_screen
19곰테드2,137324,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,16,0,1,2859,2,1,281
그랜드부다페스트호텔,153327,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,2,333,0,2,67
조이,139857,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2287,0,2,372
아빠를빌려드립니다,140265,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,3445,0,2,324
글로리데이,141660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26181,0,4,425
익스펜더블3,143283,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,3,1069,0,4,306
론서바이버,150418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,627,0,3,288
창문넘어도망친100세노인,149415,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,1,3,260
비긴어게인,161721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1276,0,4,185
그레이스오브모나코,150812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,720,1,3,334
비정규직특수요원,144229,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2648,0,1,448
라스트베가스,149931,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,563,0,2,321
트랜스포터리퓰드,148790,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,978,0,2,415
핵소고지,152375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2640,2,7,442
대배우,156791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,2352,2,2,466
컬러풀웨딩즈,153013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1416,0,1,323
스포트라이트,162007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1122,0,6,295
더큐어,152506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2824,4,5,405
50가지그림자심연,156963,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,3757,2,7,419
옥자,162216,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,12426,3,1,94
버드맨,159746,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,2387,0,3,354
더셰프,160856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,914,0,4,380
아메리칸울트라,157694,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,3,2026,0,2,326
덤앤더머투,164715,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3986,0,4,341
팬,164154,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2406,0,2,404
